,Bale,Banwa,Kossi,Mouhoun,Nayala,Sourou,Comoe,Leraba,Boulgou,Koulpelogo,Kouritenga,Bam,Namentenga,Sanmatenga,Boulkiemde,Sanguie,Sissili,Ziro,Bazega,Nahouri,Zoundweogo,Kadiogo,Gnagna,Gourma,Komandjoari,Kompienga,Tapoa,Houet,Kenedougou,Tuy,Loroum,Passore,Yatenga,Zondoma,Ganzourgou,Kourweogo,Oubritenga,Oudalan,Seno,Soum,Yagha,Bougouriba,Ioba,Noumbiel,Poni
RX1day,0.36780242366246635,0.1120482544237928,0.0025930294776630005,-0.11253438158855923,-0.17869987960527406,0.10169012027012107,0.17751251660287123,0.3664879897693818,-0.6370794859990406,0.021936959695944606,-0.08959497221985536,-0.08505457935184679,-0.12744123182291206,0.07275563458341425,0.1867806799771273,0.5322472216547159,0.4037779437289047,-0.4418979269600819,-0.22075813023768254,-0.25185125856195956,-0.05097811387729684,0.4635087727581928,-0.15821591201765467,-0.09076838020807658,0.07726654303141917,-0.13444523962561994,0.36095324559504116,0.4161861944934053,0.2018006506920033,0.3786894223057431,0.1467706722232205,0.17748913903173583,0.10834901140332048,0.0304242478433993,-0.002428045537122565,0.2944711444889852,-0.08890639599484629,-0.06467369992356237,0.06453129246859401,0.5579576679817269,0.3372019045152057,0.24451667366560373,0.19857974965763128,0.15536468552612076,-0.11936513717523818
RX5day,0.2724754322638539,0.07272885645201313,0.03314444745890605,0.023855954453426236,-0.23948338577284622,-0.18467206588144117,-0.02333805922902382,0.18421518487581098,-0.5507251425341116,-0.08867886552179537,-0.02575982851580699,-0.3806240680380405,-0.2299397219911899,-0.11826420894782007,0.06193131224974775,0.4512400880932228,0.41825163719882263,-0.23823154927410908,-0.13574536727623265,-0.43812188375211464,-0.10476633938281908,0.4421163500017961,-0.1447531982364926,-0.3120301304121233,0.21705992994367018,-0.2513805849615292,0.5278105485223054,0.357449114650953,0.09760684759664097,0.28739710485903064,0.15131760892941462,0.07099320011795782,0.00824514640789366,-0.0371891982499129,0.0213785101907032,0.28689163807598606,0.046047933626260674,-0.09772704646411107,0.23849073412763536,0.4512855928125115,0.36445908737420074,0.07810429621266335,0.07191185360336466,0.323727017347474,0.23270878830237487
SDII,0.36016264842890683,-0.10800572391843538,0.2638098020339527,0.011844842573650552,-0.2116969775354135,0.05913174440981897,-0.09712150681028336,-0.4182753672951943,-0.2365069842848193,-0.012795415204338162,0.35740309440009776,-0.14378156866819555,0.3884716594890948,0.41004494299972377,0.30025113727828734,0.5753235999431806,0.37618244006682267,0.044442277908016616,0.14330481242243842,-0.47599198827376044,-0.09462325175393793,0.4316231953223985,0.5177755769753648,-0.012716744057588335,0.09328662678138755,-0.38697616195167917,-0.032791778455175724,0.31919038859725146,0.29936317143616437,0.5959733740652327,0.33110416275211435,0.2810796444835354,0.06048298955759514,0.0792364834078167,0.5257548607335712,0.20267436178612191,0.4843930597651478,0.007167898831436509,0.17182874609842358,0.007537548394286241,0.30965134662534877,0.06571516502972242,0.36865634621183385,0.25569208720154274,0.3221099633581279
CWD,0.20850823374995098,-0.34759468537808863,0.47486576296578764,-0.08228561214802338,0.056428791449935,0.5420695379078507,0.2577780423197842,-0.39152295172251084,-0.10349060959850873,-0.334703697505229,-0.30537671394219196,0.0543594505570026,0.2012686275202878,0.49363196884336796,-0.01915459077611664,0.27748643870906564,-0.34494552447094734,-0.2587462889117792,-0.13345984388175056,-0.057022633930520455,0.1214604458052583,0.22185385376407515,0.17972972111769273,-0.2482620329475547,0.027526157723633458,-0.1378901372606869,0.2272575773823877,-0.27146232538743925,-0.41551171511900614,0.46149012882336443,0.5216961910585608,0.20891268679638553,0.42610475991113705,0.14655879267965616,-0.23677022581587928,0.27226918257472693,-0.33584173447700943,0.44652381347931475,0.3139783465037933,0.12749241102412154,-0.01696982335269456,0.3290871891437065,0.246596806636847,0.31292910771069876,-0.06228969855787378
CDD,-0.3369200292771569,-0.26764319442417844,-0.10706561649214213,0.19035527313922251,-0.25626305217569234,-0.6392852432076768,0.18611001319064907,0.2444979782414012,-0.0630289728825968,0.25359073507993424,-0.32526084770276836,0.20382734521878118,-0.052992549372810255,-0.16258551524811027,-0.21238330680591047,-0.21667367524948217,-0.7153426472096932,-0.395360683641234,0.06225246302832037,-0.1084198370082756,-0.16892352985599832,0.09599486662242583,-0.07407880549313894,-0.4155227626737129,0.10553896631600497,0.45527545791788776,-0.09903938440963743,0.10189378473802707,0.07257531722362195,-0.29668665851775017,-0.013048405337042967,0.2801235122546126,-0.2181224183878985,-0.10484587855023249,-0.17910925022367413,-0.37128732631631206,0.06183094608650947,0.10129714126628164,0.2989616244610715,-0.187753661515999,-0.055915572095230404,-0.0010962284431632937,-0.5153643506070166,-0.5801380005134898,-0.450089547619657
TNn,-0.2633866251359103,-0.07253901132395199,0.3057786521503716,0.2845974104741697,0.4198309502796283,0.09343278726338833,0.0862737682212675,-0.01597555427793482,0.1075620666043671,0.1771278948233862,0.060207517337088685,-0.2830137366431191,0.3776578646759355,0.019018349881942228,-0.20273525119536043,-0.25252473592133506,-0.14338352757904807,0.03193360598952611,-0.17778190866421764,-0.24470196284502604,0.0507874305413776,-0.11644443227498967,0.11597980386560422,-0.006892136156312586,0.15394190229260674,0.3098140114432388,0.4677179152834195,0.19661627070446702,0.15030290440538707,0.03504174260567755,0.09696873100254105,-0.2172668187908661,-0.4613619292128926,-0.29453130770339864,-0.09240155651149727,0.01179607818066757,-0.12508082091084172,0.36605979486609713,0.5160417945648504,-0.28445863629015067,-0.11362227428765186,0.1959437777874791,-0.12495739003355819,-0.02807294878980875,-0.04755448742579211
TNx,-0.18833775053978674,-0.09155452406356725,0.0361861617943016,-0.10355654499294825,0.0010782980125183396,0.047842651326549954,0.1486483071867009,-0.05945840321140604,0.060831217357342794,0.013348233649431213,0.225413826501733,-0.011028388284573394,0.0915481181104742,-0.5506585293781248,0.09369579161489353,-0.04921229327761109,-0.4911606841366163,0.21710001805011048,-0.14357168557627004,-0.2319420771716929,0.009243084447901957,-0.23416918969311587,0.10969997620627783,-0.02972312292066657,0.014509486325054326,0.23895973486098185,-0.0381380538794069,-0.15694338715027603,0.18282437245922978,-0.10972830008551836,-0.09283658731227401,-0.20166761289941143,-0.03719307650386263,-0.5233983467785747,-0.1777151192584467,-0.16269860361407928,-0.4050253733069081,0.2598119033847449,0.3545773443232554,-0.55262971174453,-0.42586093883613124,0.21561626526530173,-0.03075571642443431,0.3001390421668005,-0.022158973978621144
TXx,0.2683301831608989,-0.027481117832504235,-0.19267476168868575,-0.1603292481230159,-0.06175438503129088,-0.02403251147134277,0.11851847520890745,0.1347464674710867,-0.3189197069354015,-0.5182348630640857,0.4245104791605296,0.2532105361767657,-0.06747702253946593,-0.12881503207062886,0.060436007463864426,0.24744806687402185,-0.06325485474829935,-0.055841228508481146,-0.2276058664428312,0.12240208337902979,0.2236601269426097,0.12324941658478232,-0.05217068091598038,0.06244979471031075,0.2186579911285318,-0.23310554212012763,0.17382941145872177,0.25144752292744876,0.2534199203145036,0.39459651701963866,-0.27696436765395077,-0.030683007622134748,-0.06039562187064118,0.04107158011456842,0.21343338293614778,-0.11494096503738546,-0.2686931038183034,-0.3844281202722441,-0.015233140377292516,-0.061752143625013065,0.3533956703943611,0.25477321041357903,0.39686119784564655,-0.4040347608620473,0.03560676766137677
TXn,-0.33414573449864815,-0.1205414808256329,-0.019197011822614757,0.17593343303506426,0.11338589380938695,-0.4703175109348088,0.23477345482379106,-0.14671336657126463,0.06663072721162906,-0.23998798770933708,-0.09323066610211059,-0.2155650870411998,-0.20446785017727878,-0.4921870090377733,-0.478089369400587,-0.21802226337332825,-0.3600320998300453,-0.1957173635558384,-0.5791195292204198,-0.07495277618821662,-0.17879864966692718,-0.4181092299915049,-0.484050372471825,-0.15703718318471183,-0.5916500525418084,0.07178240955300348,-0.1445121890733246,-0.06128710101559765,0.06841199512718786,-0.17672285189328044,-0.4886476629395381,-0.15151986812370025,-0.36854871996591015,-0.3942153303508383,-0.39939015661749766,-0.5542418835427398,-0.502129505828686,-0.31474036934556215,-0.04249624638888961,-0.27355105927578366,-0.032278597857674333,0.00573984770908727,-0.021837002764237404,-0.32020126443424546,-0.22058978967088239
Chirts_Tmax_Temp,-0.004483533192822172,-0.08623112396412494,-0.25727058768030764,0.13590117151115275,0.015891551663585055,-0.27502945348636426,0.42740623128576816,0.20474817208529264,0.21698874716464944,-0.24489532868290156,0.34514444352960216,-0.2249632029532217,-0.29429806513475115,-0.6596073314926659,-0.10796963254732732,-0.3155971324148134,-0.13027149920178555,-0.10359474917452588,-0.1603849951964022,0.10665646156013749,0.387489626234277,-0.24811199073268497,-0.3436819310051646,0.19298296207120588,-0.09055818137022437,0.2398917306690499,-0.21482316362656373,0.14713024081584164,0.41383537599060505,0.19469530913741567,-0.5581937097236426,-0.568054349019495,-0.4892690861574133,-0.6861743355802836,0.01166065169988683,-0.4302192543791527,-0.27537462559599435,-0.014327611828040912,-0.19195016894587458,-0.2877296793065743,-0.43247461424849526,0.28458817375643913,0.2706361557541837,0.05017674352282507,0.326826644295571
